figure_id,paper_id,figure_label,image_path,remote_image_url,description,enabled
kido25-envelope,2505.06965,BH-envelope schematic,,https://arxiv.org/html/2505.06965v2/LRD1.png,"An optically thick envelope surrounding an accreting black hole, used to connect reprocessing in dense gas to the characteristic LRD continuum.",1
asada26-geometry,2601.10573,Figure 1 — envelope-geometry comparison,,https://arxiv.org/html/2601.10573v4/figures/schematic_pics.png,"A side-by-side schematic of alternative dense-gas/envelope geometries around an AGN, including blackbody-like, cocoon-like, and non-spherical configurations.",1
wang26-water,2602.06024,Figure E.7 — temperature-structure cartoon,,https://arxiv.org/html/2602.06024v1/figs/cartoon.png,"A cartoon contrasting ways to obtain hot and cool spectral components, including a mixed/spherical atmosphere and a disk-like temperature gradient.",1
suzuguchi26-collisions,2605.29895,Figure 1 — star/envelope collision geometry,,https://arxiv.org/html/2605.29895v1/schematic.png,"Stars orbiting in a dense nuclear environment collide with or pass through an extended black-hole envelope, producing transient signatures.",1
naidu26-iin,2606.30711,Figure 8 — eruption / pseudo-photosphere schematic,,https://arxiv.org/html/2606.30711v1/Schematic_v2.png,"A schematic analogy between an eruptive, optically thick outflow/pseudo-photosphere and the LRD phenomenology, motivated by Type-IIn-like and η Car–like systems.",1
liu26-wind,2607.17448,Figure 1 — supercritical outflow geometry,,https://arxiv.org/html/2607.17448v1/wind.png,"An optically thick wind launched by supercritical accretion, with a lower-density polar funnel and reprocessed emission from the outflow.",1
nandal26-sms-shells,2604.19988,Figure 1 — SMS evolution and shell ejection,,https://arxiv.org/html/2604.19988v2/SMS_LRDs3-01-01.jpg,An evolutionary pathway in which pulsational mass loss from a supermassive star produces compact shells with LRD-like observational signatures.,1
gentile26-quasistar,2606.06575,Figure 1 — quasi-star / black-hole-star layers,,https://arxiv.org/html/2606.06575v1/Sketch_BHS_v2.png,"A layered quasi-star or black-hole-star configuration, with an embedded black hole and an extended, optically thick stellar/gaseous envelope.",1
kageura26-lya,2608.14534,Figure 12 — high-covering envelope vs porous channels,,https://arxiv.org/html/2608.14534v1/figures/schematic.png,A high-covering dense envelope compared with rarer porous or gapped sightlines that allow different Lyα escape behavior.,1
kiyota26-dust,2608.10832,Figure 10 — Type-1 AGN vs LRD dust/gas geometry,,https://arxiv.org/html/2608.10832v1/fig_LRD_v2.png,"A comparison of conventional Type-1 AGN geometry with an LRD-like configuration containing unusually compact, dense and dusty/reprocessing gas.",1
